mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106
1,5.823908740944319,121.19,12.704,2.171,0.891,0.148,0.245,0.472,0.358,0.233,0.137,0.35,0.192,0.247,0.187,0.358,0.273,0.365
2,6.045757490560675,26.038,3.073,1.007,0.865,0.15,0.52,0.414,0.355,0.16,0.098,0.243,0.174,0.228,0.171,0.429,0.343,0.479
3,6.1938200260161125,17.119,5.514,1.378,0.713,0.149,0.501,0.417,0.416,0.291,0.157,0.326,0.222,0.29,0.278,0.445,0.378,0.522
4,5.522878745280337,119.533,91.542,3.322,0.558,0.149,0.157,0.119,0.31,0.04,0.32,0.069,0.291,0.044,0.548,0.195,0.203,0.343
5,5.522878745280337,205.086,15.397,1.256,0.925,0.149,0.592,0.512,0.258,0.373,0.18,0.466,0.16,0.382,0.237,0.454,0.437,0.523
6,5.522878745280337,523.453,137.528,7.004,0.784,0.145,0.754,0.544,0.564,0.642,0.401,0.566,0.444,0.535,0.49,0.621,0.575,0.586
7,5.552841968657781,19.245,2.612,1.531,0.823,0.156,0.547,0.448,0.371,0.253,0.365,0.286,0.283,0.377,0.296,0.455,0.419,0.527
9,5.619788758288394,25.16,3.684,1.253,0.836,0.148,0.552,0.401,0.434,0.132,0.285,0.224,0.267,0.198,0.324,0.462,0.375,0.522
10,5.180456064458132,72.125,8.517,2.436,0.868,0.15,0.133,0.377,0.375,0.195,0.159,0.278,0.223,0.345,0.254,0.295,0.138,0.228
11,6.3979400086720375,18.105,4.182,1.728,0.754,0.15,0.502,0.295,0.517,0.251,0.194,0.214,0.29,0.254,0.326,0.438,0.395,0.529
12,5.6020599913279625,364.429,4.743,1.657,0.983,0.147,0.629,0.478,0.43,0.212,0.384,0.325,0.301,0.263,0.637,0.512,0.495,0.644
13,5.0,65.198,10.053,6.444,0.798,0.151,0.071,0.455,0.553,0.024,0.15,0.454,0.436,0.559,0.457,0.36,0.06,0.346
14,5.102372908709558,12.605,7.195,2.065,0.576,0.148,0.579,0.524,0.359,0.587,0.144,0.495,0.199,0.507,0.216,0.487,0.486,0.517
15,5.795880017344075,9.083,6.707,1.519,0.525,0.149,0.515,0.564,0.454,0.389,0.138,0.47,0.221,0.468,0.226,0.511,0.392,0.445
16,5.102372908709558,242.057,26.701,3.723,0.888,0.151,0.273,0.045,0.535,0.238,0.355,0.044,0.394,0.527,0.431,0.284,0.32,0.483
17,6.795880017344075,47.281,5.435,1.108,0.878,0.151,0.101,0.517,0.397,0.333,0.284,0.389,0.267,0.444,0.31,0.338,0.254,0.352
18,7.0,123.349,2.591,1.903,0.965,0.149,0.334,0.439,0.403,0.294,0.142,0.345,0.21,0.488,0.232,0.392,0.331,0.394
19,5.6020599913279625,223.811,11.262,1.477,0.946,0.149,0.264,0.49,0.419,0.642,0.145,0.534,0.232,0.598,0.263,0.391,0.332,0.366
20,6.301029995663981,332.276,17.208,1.304,0.947,0.151,0.313,0.341,0.339,0.257,0.105,0.294,0.156,0.343,0.262,0.331,0.333,0.367
